session_id,name,stimulus_name,specimen_id,storage_directory,external_specimen_name,genotype,date_of_acquisition,rig,date_of_birth,full_genotype,age,sex,parent_session_id,workflow_state,project
695123997,20180508_383647_TargetedTFSF,VisCodingTargetedTFxSF,675881553,/allen/programs/braintv/production/neuralcoding/prod51/specimen_675881553/ophys_session_695123997/,383647,Rorb-IRES2-Cre;Camk2a-tTA;Ai93,2018-05-08 15:06:15.000000,CAM2P.2,2018-02-16 00:00:00.000000,Rorb-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,P130,M,,uploaded,VisCodingTargetedTFxSF
698783832,20180517_379899_TargetedContrast,VisCodingTargetedContrast,673647168,/allen/programs/braintv/production/neuralcoding/prod51/specimen_673647168/ophys_session_698783832/,379899,Vip-IRES-Cre;Ai148,2018-05-17 14:54:50.000000,CAM2P.1,2018-01-27 00:00:00.000000,Vip-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,P128,M,,uploaded,VisCodingTargetedContrast
694777122,20180507_378346_TargetedContrast,VisCodingTargetedContrast,671540231,/allen/programs/braintv/production/neuralcoding/prod50/specimen_671540231/ophys_session_694777122/,378346,Rorb-IRES2-Cre;Camk2a-tTA;Ai93,2018-05-07 19:34:19.000000,CAM2P.1,2018-01-17 00:00:00.000000,Rorb-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,P125,F,,uploaded,VisCodingTargetedContrast
695169813,20180508_377129_TFxSF,VisCodingTargetedTFxSF,666788991,/allen/programs/braintv/production/neuralcoding/prod49/specimen_666788991/ophys_session_695169813/,377129,Ntsr1-Cre_GN220;Ai148,2018-05-08 16:22:06.000000,CAM2P.2,2018-01-09 00:00:00.000000,Ntsr1-Cre_GN220/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,P133,F,,uploaded,VisCodingTargetedTFxSF
694867337,20180507_377151_2P2_VISpm_275um_ContrastTuning,VisCodingTargetedContrast,666839638,/allen/programs/braintv/production/neuralcoding/prod49/specimen_666839638/ophys_session_694867337/,377151,Rorb-IRES2-Cre;Camk2a-tTA;Ai93,2018-05-07 21:42:18.000000,CAM2P.2,2018-01-09 00:00:00.000000,Rorb-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,P129,M,,uploaded,VisCodingTargetedContrast
694681096,20180507_381627_RunningDecoding,VisCodingTargetedRunningDecoding,673580710,/allen/programs/braintv/production/neuralcoding/prod51/specimen_673580710/ophys_session_694681096/,381627,Rbp4-Cre_KL100;Camk2a-tTA;Ai93,2018-05-07 17:27:37.000000,CAM2P.1,2018-02-04 00:00:00.000000,Rbp4-Cre_KL100/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,P134,M,,uploaded,VisCodingTargetedRunningDecoding
695464266,20180508_377151_2P2_VISpm_275um_ContrastTuning,VisCodingTargetedContrast,666839638,/allen/programs/braintv/production/neuralcoding/prod49/specimen_666839638/ophys_session_695464266/,377151,Rorb-IRES2-Cre;Camk2a-tTA;Ai93,2018-05-08 23:21:45.000000,CAM2P.2,2018-01-09 00:00:00.000000,Rorb-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,P129,M,,uploaded,VisCodingTargetedContrast
696250333,20180510_379669_TargetedContrast,VisCodingTargetedContrast,673728456,/allen/programs/braintv/production/neuralcoding/prod51/specimen_673728456/ophys_session_696250333/,379669,Ntsr1-Cre_GN220;Ai148,2018-05-10 16:41:51.000000,CAM2P.2,2018-01-26 00:00:00.000000,Ntsr1-Cre_GN220/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,P123,F,,uploaded,VisCodingTargetedContrast
694862252,20180507_381627_TFxSF,VisCodingTargetedTFxSF,673580710,/allen/programs/braintv/production/neuralcoding/prod51/specimen_673580710/ophys_session_694862252/,381627,Rbp4-Cre_KL100;Camk2a-tTA;Ai93,2018-05-09 14:58:22.000000,CAM2P.1,2018-02-04 00:00:00.000000,Rbp4-Cre_KL100/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,P134,M,,uploaded,VisCodingTargetedTFxSF
694856258,20180507_377321_2P1_VISp_275um_ContrastTuning,VisCodingTargetedContrast,664605504,/allen/programs/braintv/production/neuralcoding/prod48/specimen_664605504/ophys_session_694856258/,377321,Sst-IRES-Cre;Ai148,2018-05-07 21:29:02.000000,CAM2P.1,2018-01-08 00:00:00.000000,Sst-IRES-Cre/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,P134,M,,uploaded,VisCodingTargetedContrast
